,State,Payment_Sum,Payment_Count,Payment_Mean,Year,Pop,Name,Sum_pc,Count_pc,Mean_pc,state,id
5,AK,1147886.33,10895,105.36,2018,735139,Alaska,15614.55,148.2,1.43,Alaska,2
12,AL,26093376.07,215401,121.14,2018,4887681,Alabama,53386.0,440.7,0.25,Alabama,1
19,AR,8135480.78,100421,81.01,2018,3009733,Arkansas,27030.57,333.65,0.27,Arkansas,5
26,AZ,58390218.01,233581,249.98,2018,7158024,Arizona,81573.1,326.32,0.35,Arizona,4
33,CA,834418803.37,1110594,751.33,2018,39461588,California,211450.89,281.44,0.19,California,6
40,CO,57484478.29,133553,430.42,2018,5691287,Colorado,101004.36,234.66,0.76,Colorado,8
47,CT,29220878.26,163142,179.11,2018,3571520,Connecticut,81816.36,456.79,0.5,Connecticut,9
54,DC,18939852.07,39826,475.57,2018,701547,District of Columbia,269972.68,567.69,6.78,District of Columbia,11
61,DE,4173121.45,39045,106.88,2018,965479,Delaware,43223.33,404.41,1.11,Delaware,10
68,FL,162063338.1,869194,186.45,2018,21244317,Florida,76285.5,409.14,0.09,Florida,12
75,GA,72781176.59,356427,204.2,2018,10511131,Georgia,69242.0,339.09,0.19,Georgia,13
82,HI,4792977.76,45836,104.57,2018,1420593,Hawaii,33739.27,322.65,0.74,Hawaii,15
89,IA,13616881.97,61709,220.66,2018,3148618,Iowa,43247.17,195.99,0.7,Iowa,19
96,ID,5771996.83,30688,188.09,2018,1750536,Idaho,32972.74,175.31,1.07,Idaho,16
103,IL,90359900.06,416057,217.18,2018,12723071,Illinois,71020.51,327.01,0.17,Illinois,17
110,IN,34878224.62,257408,135.5,2018,6695497,Indiana,52092.06,384.45,0.2,Indiana,18
117,KS,23495474.28,100972,232.69,2018,2911359,Kansas,80702.77,346.82,0.8,Kansas,20
124,KY,28525403.41,189805,150.29,2018,4461153,Kentucky,63941.77,425.46,0.34,Kentucky,21
131,LA,25471987.42,216947,117.41,2018,4659690,Louisiana,54664.55,465.58,0.25,Louisiana,22
138,MA,164309951.92,161826,1015.35,2018,6882635,Massachusetts,238731.17,235.12,1.48,Massachusetts,25
145,MD,51436970.45,230087,223.55,2018,6035802,Maryland,85219.78,381.2,0.37,Maryland,24
152,ME,3219085.69,17059,188.7,2018,1339057,Maine,24039.95,127.4,1.41,Maine,23
159,MI,87600596.11,355320,246.54,2018,9984072,Michigan,87740.35,355.89,0.25,Michigan,26
166,MN,40939758.62,47380,864.07,2018,5606249,Minnesota,73025.22,84.51,1.54,Minnesota,27
173,MO,45861616.76,245960,186.46,2018,6121623,Missouri,74917.41,401.79,0.3,Missouri,29
180,MS,10954542.42,116771,93.81,2018,2981020,Mississippi,36747.63,391.71,0.31,Mississippi,28
187,MT,1722731.62,13351,129.03,2018,1060665,Montana,16242.0,125.87,1.22,Montana,30
194,NC,78378055.88,341171,229.73,2018,10381615,North Carolina,75496.98,328.63,0.22,North Carolina,37
201,ND,18789283.53,13284,1414.43,2018,758080,North Dakota,247853.57,175.23,18.66,North Dakota,38
208,NE,8152836.17,60252,135.31,2018,1925614,Nebraska,42338.89,312.9,0.7,Nebraska,31
215,NH,5445881.83,23165,235.09,2018,1353465,New Hampshire,40236.59,171.15,1.74,New Hampshire,33
222,NJ,48586472.1,387274,125.46,2018,8886025,New Jersey,54677.4,435.82,0.14,New Jersey,34
229,NM,5404705.17,33703,160.36,2018,2092741,New Mexico,25825.96,161.05,0.77,New Mexico,35
236,NV,18866741.94,92951,202.98,2018,3027341,Nevada,62321.17,307.04,0.67,Nevada,32
243,NY,204717058.42,765886,267.29,2018,19530351,New York,104819.96,392.15,0.14,New York,36
250,OH,105345066.89,450394,233.9,2018,11676341,Ohio,90220.96,385.73,0.2,Ohio,39
257,OK,14719763.87,148125,99.37,2018,3940235,Oklahoma,37357.58,375.93,0.25,Oklahoma,40
264,OR,19042655.57,58451,325.79,2018,4181886,Oregon,45536.05,139.77,0.78,Oregon,41
271,PA,135150034.0,537461,251.46,2018,12800922,Pennsylvania,105578.36,419.86,0.2,Pennsylvania,42
278,RI,6989404.78,35742,195.55,2018,1058287,Rhode Island,66044.51,337.73,1.85,Rhode Island,44
285,SC,21310370.63,194712,109.45,2018,5084156,South Carolina,41915.26,382.98,0.22,South Carolina,45
292,SD,5336314.87,21299,250.54,2018,878698,South Dakota,60729.79,242.39,2.85,South Dakota,46
299,TN,72090054.37,285390,252.6,2018,6771631,Tennessee,106458.92,421.45,0.37,Tennessee,47
306,TX,217595864.27,988215,220.19,2018,28628666,Texas,76006.29,345.18,0.08,Texas,48
313,UT,25491753.14,72747,350.42,2018,3153550,Utah,80835.1,230.68,1.11,Utah,49
320,VA,43645633.67,265062,164.66,2018,8501286,Virginia,51340.04,311.79,0.19,Virginia,51
327,VT,1824323.25,1965,928.41,2018,624358,Vermont,29219.19,31.47,14.87,Vermont,50
334,WA,54600427.8,122494,445.74,2018,7523869,Washington,72569.62,162.81,0.59,Washington,53
341,WI,25951017.2,78596,330.18,2018,5807406,Wisconsin,44686.07,135.34,0.57,Wisconsin,55
348,WV,6640114.47,72181,91.99,2018,1804291,West Virginia,36801.79,400.05,0.51,West Virginia,54
355,WY,1108272.14,6406,173.01,2018,577601,Wyoming,19187.5,110.91,3.0,Wyoming,56
