State,Payment_Sum,Payment_Count,Payment_Mean,Year
PA,121294640.2,592133,204.84,2015
PR,8410864.35,61778,136.15,2015
PW,1726.07,19,90.85,2015
RI,7371763.78,45607,161.64,2015
SC,23202328.43,202176,114.76,2015
SD,4478303.31,17385,257.6,2015
TN,62795380.81,285896,219.64,2015
TX,188978870.17,969047,195.02,2015
UT,28007729.49,72449,386.59,2015
VA,44228512.62,279406,158.29,2015
VI,24971.89,178,140.29,2015
VT,2037465.97,2305,883.93,2015
WA,56141418.12,139654,402.0,2015
WI,24366614.07,88336,275.84,2015
WV,6440774.71,81241,79.28,2015
WY,1455101.16,6976,208.59,2015
NA,162309.22,447,363.11,2015
AA,643.92,19,33.89,2016
AE,34557.5,161,214.64,2016
AK,796671.24,9740,81.79,2016
AL,22672893.9,229921,98.61,2016
AP,16435.36,125,131.48,2016
AR,11738360.1,110939,105.81,2016
AS,77.45,1,77.45,2016
AZ,61485536.55,243359,252.65,2016
CA,682188216.06,1174463,580.85,2016
CO,60753194.8,138885,437.44,2016
CT,31542008.36,194318,162.32,2016
DC,18813695.16,40661,462.7,2016
DE,3860316.0,43411,88.92,2016
FL,145049078.03,880874,164.66,2016
FM,87.89,2,43.94,2016
GA,67739067.14,372405,181.9,2016
GU,38366.47,159,241.3,2016
HI,4583775.14,48410,94.69,2016
IA,14123000.73,71294,198.1,2016
ID,4886636.83,35526,137.55,2016
IL,87357003.3,450876,193.75,2016
IN,31247444.62,280552,111.38,2016
KS,14116242.98,110333,127.94,2016
KY,33604825.99,200635,167.49,2016
LA,22275795.7,221989,100.35,2016
MA,146331528.68,175853,832.12,2016
MD,44481502.06,244145,182.19,2016
ME,5117956.61,22296,229.55,2016
MH,24.93,1,24.93,2016
MI,70787698.85,382247,185.19,2016
MN,42966351.68,47409,906.29,2016
MO,46429796.57,264657,175.43,2016
MP,379.49,7,54.21,2016
MS,11578539.59,118581,97.64,2016
MT,2141332.63,15777,135.72,2016
NC,76756051.08,379494,202.26,2016
ND,1863351.98,15469,120.46,2016
NE,9330754.61,63481,146.98,2016
NH,6541892.99,22583,289.68,2016
NJ,71410719.25,470854,151.66,2016
NM,4421179.16,35962,122.94,2016
NV,19075766.18,93393,204.25,2016
NY,237341800.32,834124,284.54,2016
OH,98138663.48,504198,194.64,2016
OK,15134982.44,153738,98.45,2016
OR,17967470.46,65020,276.34,2016
PA,174331879.04,607483,286.97,2016
PR,8083068.48,60837,132.86,2016
PW,4660.59,31,150.34,2016
RI,7369909.45,42594,173.03,2016
SC,23000541.15,209179,109.96,2016
SD,5557689.47,19873,279.66,2016
TN,71539650.43,294537,242.89,2016
TX,194801944.53,1014867,191.95,2016
UT,26601377.29,77572,342.92,2016
VA,44720300.25,286422,156.13,2016
VI,21384.98,232,92.18,2016
VT,1637311.79,2387,685.93,2016
WA,45504909.18,136486,333.4,2016
WI,47591829.1,84453,563.53,2016
WV,6848971.16,84095,81.44,2016
WY,1883375.83,7173,262.56,2016
NA,421382.64,598,704.65,2016
AA,1567.06,30,52.24,2017
AE,29662.73,196,151.34,2017
AK,878928.8,10354,84.89,2017
AL,22641870.19,222655,101.69,2017
AP,9900.82,159,62.27,2017
AR,8429962.5,111233,75.79,2017
AZ,54724441.57,245118,223.26,2017
CA,718897774.13,1153174,623.41,2017
CO,53747530.76,134999,398.13,2017
CT,29046910.29,176984,164.12,2017
DC,18659480.66,39605,471.14,2017
DE,3876832.43,42117,92.05,2017
FL,151992927.35,869087,174.89,2017
FM,830.96,1,830.96,2017
GA,68524145.94,365186,187.64,2017
