,State,Payment_Sum,Payment_Count,Payment_Mean,Year,Pop,Name,Sum_pc,Count_pc,Mean_pc,state,id
4,AK,878928.8,10354,84.89,2017,739700,Alaska,11882.23,139.98,1.15,Alaska,2
11,AL,22641870.19,222655,101.69,2017,4874486,Alabama,46449.76,456.78,0.21,Alabama,1
18,AR,8429962.5,111233,75.79,2017,3001345,Arkansas,28087.28,370.61,0.25,Arkansas,5
25,AZ,54724441.57,245118,223.26,2017,7044008,Arizona,77689.35,347.98,0.32,Arizona,4
32,CA,718897774.13,1153174,623.41,2017,39358497,California,182653.77,292.99,0.16,California,6
39,CO,53747530.76,134999,398.13,2017,5611885,Colorado,95774.47,240.56,0.71,Colorado,8
46,CT,29046910.29,176984,164.12,2017,3573297,Connecticut,81288.82,495.3,0.46,Connecticut,9
53,DC,18659480.66,39605,471.14,2017,694906,District of Columbia,268518.05,569.93,6.78,District of Columbia,11
60,DE,3876832.43,42117,92.05,2017,956823,Delaware,40517.76,440.18,0.96,Delaware,10
67,FL,151992927.35,869087,174.89,2017,20963613,Florida,72503.21,414.57,0.08,Florida,12
74,GA,68524145.94,365186,187.64,2017,10410330,Georgia,65823.22,350.79,0.18,Georgia,13
81,HI,4705975.24,49208,95.63,2017,1424393,Hawaii,33038.46,345.47,0.67,Hawaii,15
88,IA,14059468.66,67848,207.22,2017,3141550,Iowa,44753.29,215.97,0.66,Iowa,19
95,ID,5537469.48,32916,168.23,2017,1717715,Idaho,32237.42,191.63,0.98,Idaho,16
102,IL,92826781.28,433523,214.12,2017,12778828,Illinois,72641.08,339.25,0.17,Illinois,17
109,IN,32754989.1,263536,124.29,2017,6658078,Indiana,49195.86,395.81,0.19,Indiana,18
116,KS,20698964.03,107665,192.25,2017,2908718,Kansas,71161.81,370.15,0.66,Kansas,20
123,KY,30452580.49,198646,153.3,2017,4452268,Kentucky,68397.91,446.17,0.34,Kentucky,21
130,LA,24413882.39,224821,108.59,2017,4670560,Louisiana,52271.85,481.36,0.23,Louisiana,22
137,MA,158561337.26,169288,936.64,2017,6859789,Massachusetts,231146.09,246.78,1.37,Massachusetts,25
144,MD,74148702.23,240951,307.73,2017,6023868,Maryland,123091.51,399.99,0.51,Maryland,24
151,ME,4422362.87,19490,226.9,2017,1334612,Maine,33135.94,146.03,1.7,Maine,23
158,MI,79533151.64,374100,212.6,2017,9973114,Michigan,79747.56,375.11,0.21,Michigan,26
165,MN,40875004.33,48103,849.74,2017,5566230,Minnesota,73433.91,86.42,1.53,Minnesota,27
172,MO,47640585.58,259077,183.89,2017,6106670,Missouri,78014.02,424.25,0.3,Missouri,29
179,MS,10671707.49,119774,89.1,2017,2988510,Mississippi,35709.12,400.78,0.3,Mississippi,28
186,MT,1979321.9,15431,128.27,2017,1052482,Montana,18806.23,146.62,1.22,Montana,30
193,NC,77289765.04,370063,208.86,2017,10268233,North Carolina,75270.75,360.4,0.2,North Carolina,37
200,ND,2135657.43,14722,145.07,2017,754942,North Dakota,28289.03,195.01,1.92,North Dakota,38
207,NE,9018300.39,62750,143.72,2017,1915947,Nebraska,47069.68,327.51,0.75,Nebraska,31
214,NH,6786382.52,23768,285.53,2017,1348787,New Hampshire,50314.71,176.22,2.12,New Hampshire,33
221,NJ,72206873.86,452858,159.45,2017,8885525,New Jersey,81263.49,509.66,0.18,New Jersey,34
228,NM,28284178.89,36373,777.61,2017,2091784,New Mexico,135215.58,173.89,3.72,New Mexico,35
235,NV,19764232.53,92342,214.03,2017,2969905,Nevada,66548.37,310.93,0.72,Nevada,32
242,NY,202713729.43,801450,252.93,2017,19589572,New York,103480.43,409.12,0.13,New York,36
249,OH,100224909.48,483033,207.49,2017,11659650,Ohio,85958.76,414.28,0.18,Ohio,39
256,OK,15934881.79,154040,103.45,2017,3931316,Oklahoma,40533.2,391.83,0.26,Oklahoma,40
263,OR,20732948.55,62382,332.35,2017,4143625,Oregon,50035.77,150.55,0.8,Oregon,41
270,PA,148186356.61,586278,252.76,2017,12787641,Pennsylvania,115882.48,458.47,0.2,Pennsylvania,42
277,RI,7592215.96,38660,196.38,2017,1055673,Rhode Island,71918.25,366.21,1.86,Rhode Island,44
284,SC,25916367.77,204800,126.54,2017,5021268,South Carolina,51613.19,407.87,0.25,South Carolina,45
291,SD,5063338.97,21537,235.1,2017,872868,South Dakota,58008.07,246.74,2.69,South Dakota,46
298,TN,59891006.84,293509,204.05,2017,6708799,Tennessee,89272.32,437.5,0.3,Tennessee,47
305,TX,199884339.09,996715,200.54,2017,28295273,Texas,70642.31,352.25,0.07,Texas,48
312,UT,24829848.92,75605,328.42,2017,3101042,Utah,80069.37,243.81,1.06,Utah,49
319,VA,40305271.25,279713,144.1,2017,8463587,Virginia,47621.97,330.49,0.17,Virginia,51
326,VT,1557016.91,1981,785.98,2017,624344,Vermont,24938.45,31.73,12.59,Vermont,50
333,WA,44716997.28,130098,343.72,2017,7423362,Washington,60238.2,175.25,0.46,Washington,53
340,WI,36951049.46,81517,453.29,2017,5790186,Wisconsin,63816.69,140.78,0.78,Wisconsin,55
347,WV,6818817.41,79591,85.67,2017,1817004,West Virginia,37527.81,438.03,0.47,West Virginia,54
354,WY,927421.78,7523,123.28,2017,578931,Wyoming,16019.56,129.95,2.13,Wyoming,56
