,State,Payment_Sum,Payment_Count,Payment_Mean,Year,Pop,Name,Sum_per_10000,Count_per_10000,Mean_pc,state,id
3,AK,796671.24,9740,81.79,2016,741456,Alaska,10744.69,131.36,1.1,Alaska,2
10,AL,22672893.9,229921,98.61,2016,4863525,Alabama,46618.23,472.75,0.2,Alabama,1
17,AR,11738360.1,110939,105.81,2016,2989918,Arkansas,39259.81,371.04,0.35,Arkansas,5
24,AZ,61485536.55,243359,252.65,2016,6941072,Arizona,88582.19,350.61,0.36,Arizona,4
31,CA,682188216.06,1174463,580.85,2016,39167117,California,174173.71,299.86,0.15,California,6
38,CO,60753194.8,138885,437.44,2016,5539215,Colorado,109678.35,250.73,0.79,Colorado,8
45,CT,31542008.36,194318,162.32,2016,3578141,Connecticut,88151.94,543.07,0.45,Connecticut,9
52,DC,18813695.16,40661,462.7,2016,685815,District of Columbia,274326.1,592.89,6.75,District of Columbia,11
59,DE,3860316.0,43411,88.92,2016,948921,Delaware,40681.11,457.48,0.94,Delaware,10
66,FL,145049078.03,880874,164.66,2016,20613477,Florida,70366.14,427.33,0.08,Florida,12
73,GA,67739067.14,372405,181.9,2016,10301890,Georgia,65754.02,361.49,0.18,Georgia,13
80,HI,4583775.14,48410,94.69,2016,1427559,Hawaii,32109.18,339.11,0.66,Hawaii,15
87,IA,14123000.73,71294,198.1,2016,3131371,Iowa,45101.65,227.68,0.63,Iowa,19
94,ID,4886636.83,35526,137.55,2016,1682380,Idaho,29045.98,211.17,0.82,Idaho,16
101,IL,87357003.3,450876,193.75,2016,12820527,Illinois,68138.39,351.68,0.15,Illinois,17
108,IN,31247444.62,280552,111.38,2016,6634304,Indiana,47099.81,422.88,0.17,Indiana,18
115,KS,14116242.98,110333,127.94,2016,2910844,Kansas,48495.36,379.04,0.44,Kansas,20
122,KY,33604825.99,200635,167.49,2016,4438182,Kentucky,75717.55,452.07,0.38,Kentucky,21
129,LA,22275795.7,221989,100.35,2016,4678135,Louisiana,47616.83,474.52,0.21,Louisiana,22
136,MA,146331528.68,175853,832.12,2016,6823608,Massachusetts,214448.91,257.71,1.22,Massachusetts,25
143,MD,44481502.06,244145,182.19,2016,6003323,Maryland,74094.8,406.68,0.3,Maryland,24
150,ME,5117956.61,22296,229.55,2016,1331317,Maine,38442.81,167.47,1.72,Maine,23
157,MI,70787698.85,382247,185.19,2016,9950571,Michigan,71139.33,384.15,0.19,Michigan,26
164,MN,42966351.68,47409,906.29,2016,5522744,Minnesota,77798.92,85.84,1.64,Minnesota,27
171,MO,46429796.57,264657,175.43,2016,6087135,Missouri,76275.29,434.78,0.29,Missouri,29
178,MS,11578539.59,118581,97.64,2016,2987938,Mississippi,38750.94,396.87,0.33,Mississippi,28
185,MT,2141332.63,15777,135.72,2016,1040859,Montana,20572.74,151.58,1.3,Montana,30
192,NC,76756051.08,379494,202.26,2016,10154788,North Carolina,75586.07,373.71,0.2,North Carolina,37
199,ND,1863351.98,15469,120.46,2016,754434,North Dakota,24698.67,205.04,1.6,North Dakota,38
206,NE,9330754.61,63481,146.98,2016,1905616,Nebraska,48964.51,333.13,0.77,Nebraska,31
213,NH,6541892.99,22583,289.68,2016,1342307,New Hampshire,48736.19,168.24,2.16,New Hampshire,33
220,NJ,71410719.25,470854,151.66,2016,8870827,New Jersey,80500.63,530.79,0.17,New Jersey,34
227,NM,4421179.16,35962,122.94,2016,2091630,New Mexico,21137.48,171.93,0.59,New Mexico,35
234,NV,19075766.18,93393,204.25,2016,2917563,Nevada,65382.53,320.11,0.7,Nevada,32
241,NY,237341800.32,834124,284.54,2016,19633428,New York,120886.58,424.85,0.14,New York,36
248,OH,98138663.48,504198,194.64,2016,11634370,Ohio,84352.37,433.37,0.17,Ohio,39
255,OK,15134982.44,153738,98.45,2016,3926331,Oklahoma,38547.39,391.56,0.25,Oklahoma,40
262,OR,17967470.46,65020,276.34,2016,4089976,Oregon,43930.5,158.97,0.68,Oregon,41
269,PA,174331879.04,607483,286.97,2016,12782275,Pennsylvania,136385.64,475.25,0.22,Pennsylvania,42
276,RI,7369909.45,42594,173.03,2016,1056770,Rhode Island,69739.96,403.06,1.64,Rhode Island,44
283,SC,23000541.15,209179,109.96,2016,4957968,South Carolina,46391.06,421.9,0.22,South Carolina,45
290,SD,5557689.47,19873,279.66,2016,862996,South Dakota,64399.94,230.28,3.24,South Dakota,46
297,TN,71539650.43,294537,242.89,2016,6646010,Tennessee,107643.01,443.18,0.37,Tennessee,47
304,TX,194801944.53,1014867,191.95,2016,27914410,Texas,69785.44,363.56,0.07,Texas,48
311,UT,26601377.29,77572,342.92,2016,3041868,Utah,87450.79,255.01,1.13,Utah,49
318,VA,44720300.25,286422,156.13,2016,8410106,Virginia,53174.48,340.57,0.19,Virginia,51
325,VT,1637311.79,2387,685.93,2016,623657,Vermont,26253.4,38.27,11.0,Vermont,50
332,WA,45504909.18,136486,333.4,2016,7294771,Washington,62380.18,187.1,0.46,Washington,53
339,WI,47591829.1,84453,563.53,2016,5772628,Wisconsin,82443.96,146.3,0.98,Wisconsin,55
346,WV,6848971.16,84095,81.44,2016,1831023,West Virginia,37405.16,459.28,0.44,West Virginia,54
353,WY,1883375.83,7173,262.56,2016,584215,Wyoming,32237.72,122.78,4.49,Wyoming,56
