,State,Payment_Sum,Payment_Count,Payment_Mean,Year,Pop,Name,Sum_pc,Count_pc,Mean_pc,state,id
6,AK,1323279.24,10400,127.24,2019,731545,Alaska,18088.83,142.16,1.74,Alaska,2
13,AL,25084995.63,201833,124.29,2019,4903185,Alabama,51160.61,411.64,0.25,Alabama,1
20,AR,7901301.36,93323,84.67,2019,3017804,Arkansas,26182.29,309.24,0.28,Arkansas,5
27,AZ,55859977.68,223637,249.78,2019,7278717,Arizona,76744.26,307.25,0.34,Arizona,4
34,CA,733185768.28,1075799,681.53,2019,39512223,California,185559.23,272.27,0.17,California,6
41,CO,63031511.04,125990,500.29,2019,5758736,Colorado,109453.73,218.78,0.87,Colorado,8
48,CT,29406222.08,154785,189.98,2019,3565287,Connecticut,82479.26,434.14,0.53,Connecticut,9
55,DC,20270663.63,39727,510.25,2019,705749,District of Columbia,287222.0,562.91,7.23,District of Columbia,11
62,DE,3971005.21,36899,107.62,2019,973764,Delaware,40779.95,378.93,1.11,Delaware,10
69,FL,212024743.37,827434,256.24,2019,21477737,Florida,98718.38,385.25,0.12,Florida,12
76,GA,67132520.14,341280,196.71,2019,10617423,Georgia,63228.64,321.43,0.19,Georgia,13
83,HI,5298883.55,43502,121.81,2019,1415872,Hawaii,37424.88,307.25,0.86,Hawaii,15
90,IA,15575448.42,57524,270.76,2019,3155070,Iowa,49366.41,182.32,0.86,Iowa,19
97,ID,5982359.25,28440,210.35,2019,1787065,Idaho,33475.89,159.14,1.18,Idaho,16
104,IL,94425112.83,394465,239.38,2019,12671821,Illinois,74515.82,311.29,0.19,Illinois,17
111,IN,36935138.39,242883,152.07,2019,6732219,Indiana,54863.25,360.78,0.23,Indiana,18
118,KS,25199232.77,92586,272.17,2019,2913314,Kansas,86496.8,317.8,0.93,Kansas,20
125,KY,30526108.44,182010,167.72,2019,4467673,Kentucky,68326.64,407.39,0.38,Kentucky,21
132,LA,26307045.17,200131,131.45,2019,4648794,Louisiana,56588.97,430.5,0.28,Louisiana,22
139,MA,384141589.33,160357,2395.54,2019,6892503,Massachusetts,557332.49,232.65,3.48,Massachusetts,25
146,MD,45663834.78,216257,211.16,2019,6045680,Maryland,75531.35,357.71,0.35,Maryland,24
153,ME,3485250.73,14778,235.84,2019,1344212,Maine,25927.84,109.94,1.75,Maine,23
160,MI,116766254.29,325927,358.26,2019,9986857,Michigan,116919.92,326.36,0.36,Michigan,26
167,MN,46833897.15,48541,964.83,2019,5639632,Minnesota,83044.24,86.07,1.71,Minnesota,27
174,MO,51030438.15,232559,219.43,2019,6137428,Missouri,83146.29,378.92,0.36,Missouri,29
181,MS,11706380.67,110518,105.92,2019,2976149,Mississippi,39333.99,371.35,0.36,Mississippi,28
188,MT,1587960.07,12059,131.68,2019,1068778,Montana,14857.72,112.83,1.23,Montana,30
195,NC,82764780.57,318827,259.59,2019,10488084,North Carolina,78913.16,303.99,0.25,North Carolina,37
202,ND,2486547.87,12149,204.67,2019,762062,North Dakota,32629.21,159.42,2.69,North Dakota,38
209,NE,7088871.1,56331,125.84,2019,1934408,Nebraska,36646.2,291.21,0.65,Nebraska,31
216,NH,5331765.6,22321,238.87,2019,1359711,New Hampshire,39212.49,164.16,1.76,New Hampshire,33
223,NJ,52137203.93,394736,132.08,2019,8882190,New Jersey,58698.59,444.41,0.15,New Jersey,34
230,NM,7245888.98,32762,221.17,2019,2096829,New Mexico,34556.41,156.25,1.05,New Mexico,35
237,NV,18642704.4,88392,210.91,2019,3080156,Nevada,60525.2,286.97,0.68,Nevada,32
244,NY,200141642.86,738048,271.18,2019,19453561,New York,102881.75,379.39,0.14,New York,36
251,OH,102148557.94,428933,238.15,2019,11689100,Ohio,87387.87,366.95,0.2,Ohio,39
258,OK,15561858.36,136098,114.34,2019,3956971,Oklahoma,39327.7,343.94,0.29,Oklahoma,40
265,OR,19584525.54,55660,351.86,2019,4217737,Oregon,46433.73,131.97,0.83,Oregon,41
272,PA,138864769.09,499965,277.75,2019,12801989,Pennsylvania,108471.25,390.54,0.22,Pennsylvania,42
279,RI,7101871.16,33973,209.04,2019,1059361,Rhode Island,67039.2,320.69,1.97,Rhode Island,44
286,SC,22731787.85,185635,122.45,2019,5148714,South Carolina,44150.42,360.55,0.24,South Carolina,45
293,SD,5813047.28,19649,295.84,2019,884659,South Dakota,65709.47,222.11,3.34,South Dakota,46
300,TN,62482434.46,272289,229.47,2019,6829174,Tennessee,91493.4,398.71,0.34,Tennessee,47
307,TX,510150183.56,938784,543.42,2019,28995881,Texas,175938.85,323.76,0.19,Texas,48
314,UT,26188034.12,67084,390.38,2019,3205958,Utah,81685.52,209.25,1.22,Utah,49
321,VA,49242257.53,254708,193.33,2019,8535519,Virginia,57690.99,298.41,0.23,Virginia,51
328,VT,1555575.14,2235,696.01,2019,623989,Vermont,24929.53,35.82,11.15,Vermont,50
335,WA,52428092.22,111689,469.41,2019,7614893,Washington,68849.41,146.67,0.62,Washington,53
342,WI,32813924.28,70548,465.13,2019,5822434,Wisconsin,56357.74,121.17,0.8,Wisconsin,55
349,WV,9127738.13,66332,137.61,2019,1792147,West Virginia,50931.86,370.13,0.77,West Virginia,54
356,WY,1711898.35,5292,323.49,2019,578759,Wyoming,29578.78,91.44,5.59,Wyoming,56
