,State,Payment_Sum,Payment_Count,Payment_Mean,Year,Pop,Name,Sum_per_10000,Count_per_10000,Mean_pc,state,id
0,AK,267010.65,3750,71.2,2013,737068,Alaska,3622.61,50.88,0.97,Alaska,2
7,AL,8148469.09,77158,105.61,2013,4830081,Alabama,16870.25,159.74,0.22,Alabama,1
14,AR,3400645.19,37729,90.13,2013,2959400,Arkansas,11491.0,127.49,0.3,Arkansas,5
21,AZ,18250254.9,85220,214.15,2013,6632764,Arizona,27515.31,128.48,0.32,Arizona,4
28,CA,242571068.85,425787,569.7,2013,38260787,California,63399.39,111.29,0.15,California,6
35,CO,22511983.01,48679,462.46,2013,5269035,Colorado,42725.06,92.39,0.88,Colorado,8
42,CT,11156573.17,70401,158.47,2013,3594841,Connecticut,31034.96,195.84,0.44,Connecticut,9
49,DC,6727736.0,15768,426.67,2013,650581,District of Columbia,103411.2,242.37,6.56,District of Columbia,11
56,DE,2063595.18,14308,144.23,2013,923576,Delaware,22343.53,154.92,1.56,Delaware,10
63,FL,54316036.01,306135,177.43,2013,19545621,Florida,27789.36,156.63,0.09,Florida,12
70,GA,20413198.87,127831,159.69,2013,9972479,Georgia,20469.53,128.18,0.16,Georgia,13
77,HI,1452186.98,16472,88.16,2013,1408243,Hawaii,10312.05,116.97,0.63,Hawaii,15
84,IA,5250125.36,23455,223.84,2013,3092997,Iowa,16974.23,75.83,0.72,Iowa,19
91,ID,1766800.88,12487,141.49,2013,1611206,Idaho,10965.7,77.5,0.88,Idaho,16
98,IL,30378075.37,171781,176.84,2013,12895129,Illinois,23557.79,133.21,0.14,Illinois,17
105,IN,15115753.73,94962,159.18,2013,6568713,Indiana,23011.74,144.57,0.24,Indiana,18
112,KS,4404498.01,35395,124.44,2013,2893212,Kansas,15223.56,122.34,0.43,Kansas,20
119,KY,9082450.87,69148,131.35,2013,4404659,Kentucky,20620.1,156.99,0.3,Kentucky,21
126,LA,9093254.16,75778,120.0,2013,4624527,Louisiana,19663.1,163.86,0.26,Louisiana,22
133,MA,50464810.19,69654,724.51,2013,6713315,Massachusetts,75171.22,103.76,1.08,Massachusetts,25
140,MD,17649901.88,89708,196.75,2013,5923188,Maryland,29797.98,151.45,0.33,Maryland,24
147,ME,1582833.02,9237,171.36,2013,1328009,Maine,11918.84,69.56,1.29,Maine,23
154,MI,23768556.69,141700,167.74,2013,9913065,Michigan,23977.0,142.94,0.17,Michigan,26
161,MN,11806102.83,18341,643.7,2013,5413479,Minnesota,21808.72,33.88,1.19,Minnesota,27
168,MO,23742007.96,92312,257.19,2013,6040715,Missouri,39303.31,152.82,0.43,Missouri,29
175,MS,3977982.05,40225,98.89,2013,2988711,Mississippi,13310.03,134.59,0.33,Mississippi,28
182,MT,974511.76,5770,168.89,2013,1013569,Montana,9614.66,56.93,1.67,Montana,30
189,NC,28306808.6,132738,213.25,2013,9843336,North Carolina,28757.33,134.85,0.22,North Carolina,37
196,ND,534208.39,5303,100.74,2013,722036,North Dakota,7398.64,73.45,1.4,North Dakota,38
203,NE,4365685.68,22038,198.1,2013,1865279,Nebraska,23405.0,118.15,1.06,Nebraska,31
210,NH,2165535.08,9750,222.11,2013,1326622,New Hampshire,16323.68,73.49,1.67,New Hampshire,33
217,NJ,20572337.62,163557,125.78,2013,8856972,New Jersey,23227.28,184.66,0.14,New Jersey,34
224,NM,1650176.17,13483,122.39,2013,2092273,New Mexico,7887.0,64.44,0.58,New Mexico,35
231,NV,6521134.63,32685,199.51,2013,2775970,Nevada,23491.37,117.74,0.72,Nevada,32
238,NY,87163565.16,321902,270.78,2013,19624447,New York,44415.81,164.03,0.14,New York,36
245,OH,42088729.28,181913,231.37,2013,11576684,Ohio,36356.46,157.14,0.2,Ohio,39
252,OK,6781965.86,51600,131.43,2013,3853214,Oklahoma,17600.8,133.91,0.34,Oklahoma,40
259,OR,9914597.0,24763,400.38,2013,3922468,Oregon,25276.43,63.13,1.02,Oregon,41
266,PA,42913739.86,214142,200.4,2013,12776309,Pennsylvania,33588.53,167.61,0.16,Pennsylvania,42
273,RI,2676372.57,18867,141.85,2013,1055081,Rhode Island,25366.51,178.82,1.34,Rhode Island,44
280,SC,7875858.84,68672,114.69,2013,4764080,South Carolina,16531.75,144.15,0.24,South Carolina,45
287,SD,1227846.46,6310,194.59,2013,842316,South Dakota,14577.03,74.91,2.31,South Dakota,46
294,TN,21011332.89,100886,208.27,2013,6494340,Tennessee,32353.3,155.34,0.32,Tennessee,47
301,TX,73295465.68,345956,211.86,2013,26480266,Texas,27679.28,130.65,0.08,Texas,48
308,UT,10513099.45,28633,367.17,2013,2897640,Utah,36281.59,98.81,1.27,Utah,49
315,VA,15705403.71,99448,157.93,2013,8252427,Virginia,19031.25,120.51,0.19,Virginia,51
322,VT,1198992.68,963,1245.06,2013,626210,Vermont,19146.81,15.38,19.88,Vermont,50
329,WA,15930994.34,53555,297.47,2013,6963985,Washington,22876.26,76.9,0.43,Washington,53
336,WI,6981599.95,35218,198.24,2013,5736754,Wisconsin,12169.95,61.39,0.35,Wisconsin,55
343,WV,3001690.46,29975,100.14,2013,1853914,West Virginia,16191.1,161.68,0.54,West Virginia,54
350,WY,292163.55,2417,120.88,2013,582122,Wyoming,5018.94,41.52,2.08,Wyoming,56
