State,Payment_Sum,Payment_Count,Payment_Mean,Year,id,Pop,Name,Sum_pc,Count_pc,Mean_pc
IA,15575448.42,57524,270.76,2019,16,3155070,Iowa,49366.41,182.32,0.86
ID,5982359.25,28440,210.35,2019,17,1787065,Idaho,33475.89,159.14,1.18
IL,94425112.83,394465,239.38,2019,18,12671821,Illinois,74515.82,311.29,0.19
IN,36935138.39,242883,152.07,2019,19,6732219,Indiana,54863.25,360.78,0.23
KS,25199232.77,92586,272.17,2019,20,2913314,Kansas,86496.8,317.8,0.93
KY,30526108.44,182010,167.72,2019,21,4467673,Kentucky,68326.64,407.39,0.38
LA,26307045.17,200131,131.45,2019,22,4648794,Louisiana,56588.97,430.5,0.28
MA,384141589.33,160357,2395.54,2019,23,6892503,Massachusetts,557332.49,232.65,3.48
MD,45663834.78,216257,211.16,2019,24,6045680,Maryland,75531.35,357.71,0.35
ME,3485250.73,14778,235.84,2019,25,1344212,Maine,25927.84,109.94,1.75
MI,116766254.29,325927,358.26,2019,26,9986857,Michigan,116919.92,326.36,0.36
MN,46833897.15,48541,964.83,2019,27,5639632,Minnesota,83044.24,86.07,1.71
MO,51030438.15,232559,219.43,2019,28,6137428,Missouri,83146.29,378.92,0.36
MS,11706380.67,110518,105.92,2019,29,2976149,Mississippi,39333.99,371.35,0.36
MT,1587960.07,12059,131.68,2019,30,1068778,Montana,14857.72,112.83,1.23
NC,82764780.57,318827,259.59,2019,31,10488084,North Carolina,78913.16,303.99,0.25
ND,2486547.87,12149,204.67,2019,32,762062,North Dakota,32629.21,159.42,2.69
NE,7088871.1,56331,125.84,2019,33,1934408,Nebraska,36646.2,291.21,0.65
NH,5331765.6,22321,238.87,2019,34,1359711,New Hampshire,39212.49,164.16,1.76
NJ,52137203.93,394736,132.08,2019,35,8882190,New Jersey,58698.59,444.41,0.15
NM,7245888.98,32762,221.17,2019,36,2096829,New Mexico,34556.41,156.25,1.05
NV,18642704.4,88392,210.91,2019,37,3080156,Nevada,60525.2,286.97,0.68
NY,200141642.86,738048,271.18,2019,38,19453561,New York,102881.75,379.39,0.14
OH,102148557.94,428933,238.15,2019,39,11689100,Ohio,87387.87,366.95,0.2
OK,15561858.36,136098,114.34,2019,40,3956971,Oklahoma,39327.7,343.94,0.29
OR,19584525.54,55660,351.86,2019,41,4217737,Oregon,46433.73,131.97,0.83
PA,138864769.09,499965,277.75,2019,42,12801989,Pennsylvania,108471.25,390.54,0.22
RI,7101871.16,33973,209.04,2019,44,1059361,Rhode Island,67039.2,320.69,1.97
SC,22731787.85,185635,122.45,2019,45,5148714,South Carolina,44150.42,360.55,0.24
SD,5813047.28,19649,295.84,2019,46,884659,South Dakota,65709.47,222.11,3.34
TN,62482434.46,272289,229.47,2019,47,6829174,Tennessee,91493.4,398.71,0.34
TX,510150183.56,938784,543.42,2019,48,28995881,Texas,175938.85,323.76,0.19
UT,26188034.12,67084,390.38,2019,49,3205958,Utah,81685.52,209.25,1.22
VA,49242257.53,254708,193.33,2019,50,8535519,Virginia,57690.99,298.41,0.23
VT,1555575.14,2235,696.01,2019,52,623989,Vermont,24929.53,35.82,11.15
WA,52428092.22,111689,469.41,2019,53,7614893,Washington,68849.41,146.67,0.62
WI,32813924.28,70548,465.13,2019,54,5822434,Wisconsin,56357.74,121.17,0.8
WV,9127738.13,66332,137.61,2019,55,1792147,West Virginia,50931.86,370.13,0.77
WY,1711898.35,5292,323.49,2019,56,578759,Wyoming,29578.78,91.44,5.59
